artifact_type,artifact_rate,strategy,rel_error_mean_nn_ms_median,rel_error_mean_nn_ms_mean,rel_error_mean_nn_ms_std,rel_error_sdnn_ms_median,rel_error_sdnn_ms_mean,rel_error_sdnn_ms_std,rel_error_rmssd_ms_median,rel_error_rmssd_ms_mean,rel_error_rmssd_ms_std,rel_error_pnn50_median,rel_error_pnn50_mean,rel_error_pnn50_std
spurious_extra_beat,0.001,interpolate_flagged_intervals,1.2433498609537947e-06,8.368910247531365e-07,3.0157921805398587e-05,-0.00019654618078123517,-0.00014715246486089094,0.0003644232038994773,-0.0010393840330966677,-0.0011843735469833328,0.0006492023793730872,-0.0018927666147827904,-0.002583613523713561,0.003576540072590055
spurious_extra_beat,0.001,no_correction,-0.0009934717933533504,-0.0009924862830647347,3.914249233558063e-05,0.05337687244467134,0.07740950075765479,0.0795151069879671,0.20840217697378277,0.2658969833063141,0.2838691766026341,0.013802796430785734,0.16342074354360459,0.6259126954379468
spurious_extra_beat,0.005,delete_flagged_intervals,3.1788959671514415e-06,2.3051309411089666e-06,6.656047318885399e-05,7.940926448701238e-05,-1.5290497424420683e-06,0.0008752237769095639,0.0021800924285513487,0.001908895421434558,0.0021079913754581004,0.004977940800680254,0.007983594927981461,0.025619600439046333
spurious_extra_beat,0.005,interpolate_flagged_intervals,5.428182139185777e-07,4.918095903009494e-07,7.107858367059216e-05,-0.000748211471479977,-0.0007473253846673988,0.0010394993483821776,-0.005652551761016509,-0.005975220485094249,0.0019981815981851784,-0.011591119872685289,-0.012456171907768652,0.007498286967798238
spurious_extra_beat,0.005,no_correction,-0.004966635657271434,-0.00497257798262255,4.244988561597059e-05,0.2423688801204561,0.3249131276098172,0.2826091491724424,0.8240206548348621,0.9267654278596537,0.8255500671388705,0.06749787879382574,0.8003113513140379,3.00621999609425
spurious_extra_beat,0.01,delete_flagged_intervals,-2.203913548964711e-06,-4.428572831017415e-06,9.777636400692587e-05,0.0001084800657743077,-0.00010309620317603237,0.001339328177802134,0.004116780618342891,0.003549539464776869,0.003510302640337568,0.007802524540068361,0.012639071920558386,0.024903806182698763
spurious_extra_beat,0.01,interpolate_flagged_intervals,3.170754487558886e-06,3.7981270024191217e-06,0.00010191588611967875,-0.0013953215776722502,-0.001489960400719896,0.0015582648866294296,-0.011513823609429933,-0.01206543628395203,0.0031051968302917596,-0.02414844009458224,-0.025478155561346947,0.019629991621707046
spurious_extra_beat,0.01,no_correction,-0.009884180190480787,-0.009892603379688556,3.841248153640013e-05,0.42968972006012873,0.5631269358406873,0.4479638387747063,1.3739230073773014,1.486586146251749,1.2331948908188544,0.13131212955639648,1.5681305891177104,5.863131364726517
spurious_extra_beat,0.03,delete_flagged_intervals,9.98547168874905e-07,-1.7702854446982107e-06,0.00016084090185807773,0.00018695632802131042,8.159328552118486e-06,0.0021138341121330344,0.01218648211345814,0.011085022898347145,0.007782700304850032,0.024900491921055163,0.044645085676544786,0.0759973411741475
spurious_extra_beat,0.03,interpolate_flagged_intervals,1.4289536856236685e-06,8.147548086021221e-06,0.00017666235860833813,-0.0039052970921246944,-0.004333883116367046,0.0031808891175386256,-0.03497353365924534,-0.035757934591307744,0.005598474685674774,-0.07306457325760704,-0.07528330954272416,0.02661105761063085
spurious_extra_beat,0.03,no_correction,-0.029120233878329935,-0.029122637120705296,4.2189083423010205e-05,0.9975860673935766,1.2215255476944455,0.8436365265699433,2.77695884020943,2.9279251281884835,2.208781256674553,0.3806487775799638,4.514617756867767,16.883876224615165
timestamp_jitter,0.001,delete_flagged_intervals,-1.2136479154210345e-07,3.0221785315230866e-07,5.390588603745794e-05,0.00013297055122962523,3.8072325350370743e-06,0.0006997233888714182,0.0005893997094165173,0.0005580501282336457,0.001062788266529131,0.0013077241821015833,0.0021738428957387974,0.013169746288737148
timestamp_jitter,0.001,interpolate_flagged_intervals,0.0,-1.4204004374445688e-06,3.196356480703118e-05,-0.00011816388750243511,-0.00017252002718764922,0.00043247576496573185,-0.0009411883192264806,-0.001171015221825593,0.0011059794191596195,-0.0019389238972370485,-0.0024964535499398606,0.004350251544244553
timestamp_jitter,0.001,no_correction,0.0,0.0,0.0,0.00019001321606695512,0.00027352679121656526,0.00029674204452419223,0.0016594706832719444,0.0034954178698495767,0.004752976043275281,0.004766444232602433,0.060641180543230255,0.24696057263932994
timestamp_jitter,0.005,delete_flagged_intervals,6.162962751617601e-06,7.114421204401475e-06,0.00011949562213753961,0.00021077975147377564,3.2089761638941095e-05,0.0014149040774607442,0.0030414893778883244,0.0026306756471378536,0.004260407563183118,0.005490128285800465,0.015778206888033868,0.07212418152330378
timestamp_jitter,0.005,interpolate_flagged_intervals,-4.908032899413808e-07,-1.8678868930697222e-06,7.522787819716773e-05,-0.0007043541327909899,-0.000801265344196659,0.0010279096013607815,-0.005258145577564977,-0.005849036009972045,0.003929392996998447,-0.011254019292604481,-0.012243362443722419,0.01804089826780958
timestamp_jitter,0.005,no_correction,0.0,5.307882586233119e-19,1.0609119935400363e-17,0.0009120437300336437,0.001356344227295209,0.0014104651306586962,0.009269782548135676,0.016848848980696964,0.02084123196694946,0.027024143348961055,0.28602038002901,1.062810319104862
timestamp_jitter,0.01,delete_flagged_intervals,3.3778033645724384e-06,1.9056196233439845e-06,0.00017297770094905812,0.00020104113223303138,1.5050575974626009e-05,0.002281759173915868,0.006125161601021634,0.0057359856816723885,0.005334135858442208,0.009367310264930666,0.027897991579903473,0.07820545785035452
timestamp_jitter,0.01,interpolate_flagged_intervals,-1.4238198561617111e-06,1.9337489039756586e-06,9.355820033243899e-05,-0.0013062008721107252,-0.0014711166685051386,0.0017280335949792004,-0.010702523181201977,-0.011283837148716497,0.004070851073480439,-0.022877374654978105,-0.023414699531810093,0.014531995827691858
timestamp_jitter,0.01,no_correction,0.0,2.6539412931165595e-19,7.506479540934858e-18,0.0018795125112849944,0.0026848703661388586,0.0025696910658833654,0.01996878972424368,0.03308476347597063,0.03950877455975583,0.05626598465473144,0.5661986575741063,2.0638455596615772
timestamp_jitter,0.03,delete_flagged_intervals,8.800100053895027e-07,5.920693681544409e-06,0.0002864782229279288,0.0003070777893939689,0.0003085292090588063,0.003612818556918868,0.015645099624374752,0.016594749879982024,0.01437809672526018,0.028328711213869595,0.09608816183139908,0.28015999770031863
timestamp_jitter,0.03,interpolate_flagged_intervals,3.9366467899032665e-06,8.711707541463866e-06,0.00016685056375233915,-0.004420701321851333,-0.004580485239618633,0.003120846570789996,-0.03386924645531175,-0.034441035938776156,0.008270922299602985,-0.06912379254270007,-0.07229211654089482,0.032803426426121246
timestamp_jitter,0.03,no_correction,0.0,2.3885471638049033e-18,2.2406416887349566e-17,0.005921742716263466,0.008042173413382061,0.007566877785692921,0.06157903439605442,0.09316362313596327,0.10607416060600344,0.1678657074340528,1.6779647138501221,6.10280864217597
